year,month,month_conversion,shopee_region,english_product_category,partner_type,conversion_count,usd_sale_amount,usd_revenue,usd_payout,usd_avg_sale_per_conv,myr_avg_sale_per_conv,%_revenue_per_sale,%_payout_per_sale,%_payout_per_revenue
2023,12,2023-12-01,Shopee Taiwan,Food & Beverage,Coupons,78,1304.32,18.47,12.92,17,79,1.42,0.99,69.95
2023,10,2023-10-01,Shopee Vietnam,Hobbies & Collections,Others,176,446.03,5.85,5.3,3,12,1.31,1.19,90.6
2023,12,2023-12-01,Shopee Thailand,Sports & Outdoors,Rewards,2122,25012.59,793.6,555.46,12,56,3.17,2.22,69.99
2023,12,2023-12-01,Shopee Taiwan,Home & Living,Coupons,310,2848.69,43.37,30.36,9,43,1.52,1.07,70
2023,10,2023-10-01,Shopee Malaysia,Sports & Outdoors,Rewards,1080,9820.56,295.55,210.01,9,43,3.01,2.14,71.06
2023,10,2023-10-01,Shopee Philippines,Mobile & Gadgets,Content,1208,14324.96,128.61,111.52,12,56,0.9,0.78,86.71
2023,10,2023-10-01,Shopee Taiwan,Hobbies & Collections,Content,984,9859.94,8.22,5.7,10,47,0.08,0.06,69.34
2023,12,2023-12-01,Shopee Thailand,Women Clothes,Rewards,4395,19958.99,664.53,465.3,5,21,3.33,2.33,70.02
2023,12,2023-12-01,Shopee Malaysia,Mom & Baby,Others,188,1388.52,44.71,31.32,7,35,3.22,2.26,70.05
2023,12,2023-12-01,Shopee Philippines,Baby & Kids Fashion,Paid Traffic,4551,12911.85,146.63,113.6,3,13,1.14,0.88,77.47
2023,10,2023-10-01,Shopee Malaysia,Books & Magazines,Coupons,259,908.41,37.21,25.99,4,17,4.1,2.86,69.85
2023,12,2023-12-01,Shopee Thailand,Computers & Accessories,Comparison,67,2152.65,51.09,35.79,32,151,2.37,1.66,70.05
2023,12,2023-12-01,Shopee Malaysia,Men Clothes,Paid Traffic,6268,32997.66,1625.56,1137.59,5,25,4.93,3.45,69.98
2023,12,2023-12-01,Shopee Vietnam,Pets,Others,118,297.39,4.68,4.2,3,12,1.57,1.41,89.74
2023,10,2023-10-01,Shopee Philippines,Stationery,Paid Traffic,2978,6690.31,166.7,127.8,2,11,2.49,1.91,76.66
2023,10,2023-10-01,Shopee Malaysia,Women Clothes,Paid Traffic,10816,38745.26,1842.25,1290.99,4,17,4.75,3.33,70.08
2023,10,2023-10-01,Shopee Indonesia,Men Bags,Social,1057,8689.39,473.84,331.74,8,39,5.45,3.82,70.01
2023,10,2023-10-01,Shopee Singapore,Women Clothes,Comparison,6,27.72,1.31,0.93,5,22,4.73,3.35,70.99
2023,10,2023-10-01,Shopee Malaysia,Muslim Fashion,Social,5050,24824.83,1067.3,748.42,5,23,4.3,3.01,70.12
2023,10,2023-10-01,Shopee Thailand,Automobiles,Others,24,160.05,2.6,1.83,7,31,1.62,1.14,70.38
2023,9,2023-09-01,Shopee Vietnam,"Tickets, Vouchers & Services",Sub-Network,139,906.85,44.26,39.85,7,31,4.88,4.39,90.04
2023,11,2023-11-01,Shopee Malaysia,Computers & Accessories,Rewards,803,22050.96,457.22,322.3,27,129,2.07,1.46,70.49
2023,9,2023-09-01,Shopee Taiwan,Mobile & Gadgets,Social,12,54.52,0.09,0.06,5,21,0.17,0.11,66.67
2023,11,2023-11-01,Shopee Singapore,Men Clothes,Content,219,1844.22,83.85,58.75,8,40,4.55,3.19,70.07
2023,12,2023-12-01,Shopee Vietnam,Women Clothes,Comparison,1426,7934.54,133.03,119.41,6,26,1.68,1.5,89.76
2023,9,2023-09-01,Shopee Malaysia,Stationery,Coupons,489,2361.24,87.5,61.33,5,23,3.71,2.6,70.09
2023,10,2023-10-01,Shopee Philippines,Books & Magazines,Rewards,350,2292.5,40.06,31.88,7,31,1.75,1.39,79.58
2023,9,2023-09-01,Shopee Philippines,Computers & Accessories,Comparison,15,297.62,7.34,5.88,20,93,2.47,1.98,80.11
2023,9,2023-09-01,Shopee Malaysia,Watches,Sub-Network,458,4985.76,199.95,140.02,11,51,4.01,2.81,70.03
2023,11,2023-11-01,Shopee Taiwan,Audio,Others,27,802.02,9.23,6.46,30,140,1.15,0.81,69.99
2023,12,2023-12-01,Shopee Thailand,Cameras & Drones,Content,173,7222.45,103.35,80.98,42,197,1.43,1.12,78.36
2023,10,2023-10-01,Shopee Indonesia,Automobiles,Others,151,726.13,16.13,11.25,5,23,2.22,1.55,69.75
2023,11,2023-11-01,Shopee Philippines,"Tickets, Vouchers & Services",Content,205,2655.98,12.9,10.54,13,61,0.49,0.4,81.71
2023,12,2023-12-01,Shopee Malaysia,Sports & Outdoors,Paid Traffic,7557,64747.29,2481.19,1736.92,9,40,3.83,2.68,70
2023,9,2023-09-01,Shopee Malaysia,Mobile & Gadgets,Sub-Network,5832,61352.69,827.83,578.35,11,50,1.35,0.94,69.86
2023,12,2023-12-01,Shopee Singapore,Baby & Kids Fashion,Coupons,142,887.85,37.17,26.04,6,29,4.19,2.93,70.06
2023,11,2023-11-01,Shopee Thailand,Women Clothes,Sub-Network,1216,3766.75,64.68,48.73,3,15,1.72,1.29,75.34
2023,12,2023-12-01,Shopee Taiwan,Sports & Outdoors,Coupons,31,599.94,8.72,6.11,19,91,1.45,1.02,70.07
2023,12,2023-12-01,Shopee Malaysia,Gaming & Consoles,Rewards,117,1945.6,42.01,29.66,17,78,2.16,1.52,70.6
2023,9,2023-09-01,Shopee Philippines,Travel & Luggage,Comparison,2,0.73,0.01,0.01,0,2,1.37,1.37,100
2023,11,2023-11-01,Shopee Taiwan,Motorcycles,Content,392,4983.22,10.73,7.51,13,60,0.22,0.15,69.99
2023,11,2023-11-01,Shopee Thailand,Home Appliances,Sub-Network,693,13454.59,214.41,159.05,19,91,1.59,1.18,74.18
2023,11,2023-11-01,Shopee Singapore,Pets,Coupons,244,3970.05,123.52,86.54,16,77,3.11,2.18,70.06
2023,12,2023-12-01,Shopee Philippines,Men Bags,Coupons,184,1069.26,14.12,11.27,6,27,1.32,1.05,79.82
2023,10,2023-10-01,Shopee Philippines,Men Bags,Sub-Network,787,4063.5,146.33,114.25,5,24,3.6,2.81,78.08
2023,11,2023-11-01,Shopee Singapore,Health,Comparison,72,1806.43,173.55,121.5,25,118,9.61,6.73,70.01
2023,12,2023-12-01,Shopee Indonesia,Home & Living,Paid Traffic,68405,282115.74,5472.75,3802.07,4,19,1.94,1.35,69.47
2023,12,2023-12-01,Shopee Malaysia,Women Bags,Social,1503,11243.65,535.84,377.71,7,35,4.77,3.36,70.49
2023,12,2023-12-01,Shopee Thailand,Automobiles,Paid Traffic,1642,14247.16,450.55,308.33,9,41,3.16,2.16,68.43
2023,10,2023-10-01,Shopee Thailand,Baby & Kids Fashion,Others,39,106.76,3.02,2.1,3,13,2.83,1.97,69.54
2023,12,2023-12-01,Shopee Indonesia,Muslim Fashion,Coupons,121,478.25,9.79,6.83,4,19,2.05,1.43,69.77
2023,10,2023-10-01,Shopee Thailand,Beauty,Rewards,13688,127898.13,4645.68,3252.25,9,44,3.63,2.54,70.01
2023,9,2023-09-01,Shopee Thailand,Hobbies & Collections,Coupons,88,464.18,14.74,10.3,5,25,3.18,2.22,69.88
2023,12,2023-12-01,Shopee Taiwan,Automobiles,Others,98,1136.73,6.66,4.66,12,55,0.59,0.41,69.97
2023,12,2023-12-01,Shopee Indonesia,Food & Beverage,Comparison,60,112.63,2.95,2.1,2,9,2.62,1.86,71.19
2023,9,2023-09-01,Shopee Singapore,Baby & Kids Fashion,Coupons,32,225.41,8.46,5.95,7,33,3.75,2.64,70.33
2023,10,2023-10-01,Shopee Singapore,Automobiles,Content,135,2350.92,67.57,47.36,17,82,2.87,2.01,70.09
2023,12,2023-12-01,Shopee Indonesia,Hobbies & Collections,Coupons,131,259.93,5.91,4.07,2,9,2.27,1.57,68.87
2023,9,2023-09-01,Shopee Vietnam,Baby & Kids Fashion,Coupons,33,153.65,0.65,0.57,5,22,0.42,0.37,87.69
2023,9,2023-09-01,Shopee Taiwan,Mom & Baby,Content,483,5340.68,32.32,22.58,11,52,0.61,0.42,69.86
2023,11,2023-11-01,Shopee Vietnam,Men Shoes,Sub-Network,15944,87340.22,3967.83,3572.8,5,26,4.54,4.09,90.04
2023,10,2023-10-01,Shopee Thailand,Motorcycles,Content,205,1727.42,34.16,27.4,8,40,1.98,1.59,80.21
2023,10,2023-10-01,Shopee Taiwan,Audio,Social,10,501.61,3.58,2.51,50,236,0.71,0.5,70.11
2023,9,2023-09-01,Shopee Vietnam,Cameras & Drones,Content,23,306.46,3.06,2.77,13,63,1,0.9,90.52
2023,12,2023-12-01,Shopee Malaysia,Women Clothes,Coupons,708,2469.25,132.22,92.68,3,16,5.35,3.75,70.1
2023,12,2023-12-01,Shopee Thailand,Men Shoes,Content,209,2365.4,100.56,81.65,11,53,4.25,3.45,81.2
2023,12,2023-12-01,Shopee Taiwan,Men Bags,Sub-Network,525,9020.77,89.97,63.88,17,81,1,0.71,71
2023,10,2023-10-01,Shopee Indonesia,Women Clothes,Paid Traffic,29395,117617.96,4863.19,3403.1,4,19,4.13,2.89,69.98
2023,10,2023-10-01,Shopee Thailand,Audio,Sub-Network,358,5647.72,89.02,64.05,16,74,1.58,1.13,71.95
2023,12,2023-12-01,Shopee Indonesia,"Tickets, Vouchers & Services",Comparison,76,336.45,6.78,4.73,4,21,2.02,1.41,69.76
2023,9,2023-09-01,Shopee Philippines,"Tickets, Vouchers & Services",Others,72,672.12,3.34,2.68,9,44,0.5,0.4,80.24
2023,12,2023-12-01,Shopee Malaysia,Motorcycles,Others,104,612,12.49,8.71,6,28,2.04,1.42,69.74
2023,12,2023-12-01,Shopee Thailand,"Tickets, Vouchers & Services",Coupons,42,3101.89,6.62,4.64,74,348,0.21,0.15,70.09
2023,11,2023-11-01,Shopee Thailand,Health,Comparison,97,1207.84,42.14,29.46,12,59,3.49,2.44,69.91
2023,9,2023-09-01,Shopee Taiwan,Women Shoes,Coupons,13,288.04,1.11,0.77,22,104,0.39,0.27,69.37
2023,12,2023-12-01,Shopee Taiwan,Beauty,Rewards,6,68.16,2.28,1.59,11,54,3.35,2.33,69.74
